model,project_id,input_tokens,output_tokens,duration
xiaomi/mimo-v2-flash,1,103954,2239,150.25481079996098
deepseek/deepseek-chat-v3.1,1,83569,1807,53.170177199994214
openai/gpt-5-nano,1,80789,14066,97.11725599993952
openai/gpt-oss-120b,1,80849,3337,22.88968390005175
minimax/minimax-m2.7,1,81573,3225,68.6693663999904
google/gemini-3-flash-preview,1,111074,1762,13.753631899948232
x-ai/grok-4.1-fast,1,80613,3350,27.17288099997677
qwen/qwen3-30b-a3b-instruct-2507,1,103954,2927,63.19308309990447
qwen/qwen3-coder,1,103954,2269,111.6676588000264
z-ai/glm-4.7-flash,1,85735,5462,137.8014815999195
moonshotai/kimi-k2.5,1,81976,4243,39.79109239997342
mistralai/devstral-small,1,105541,1520,10.03797940001823
xiaomi/mimo-v2-flash,2,16186,1478,13.790664699976332
xiaomi/mimo-v2-flash,2,16186,1407,13.094716900028288
deepseek/deepseek-chat-v3.1,2,17481,1722,51.2436735999072
openai/gpt-5-nano,2,16033,6830,52.4280494999839
openai/gpt-oss-120b,2,16083,1865,62.424966800026596
minimax/minimax-m2.7,2,16194,1638,26.36156640003901
google/gemini-3-flash-preview,2,20086,1291,8.125321500003338
x-ai/grok-4.1-fast,2,15938,2596,16.638170199934393
qwen/qwen3-30b-a3b-instruct-2507,2,16186,1913,19.025893799960613
qwen/qwen3-coder,2,16186,1429,68.07495539996307
z-ai/glm-4.7-flash,2,15802,4518,98.71482250001281
moonshotai/kimi-k2.5,2,16279,3257,94.94586740003433
mistralai/devstral-small,2,17027,1224,5.404416400007904
xiaomi/mimo-v2-flash,3,81651,2342,25.75275350001175
deepseek/deepseek-chat-v3.1,3,89809,2316,175.07565640006214
openai/gpt-5-nano,3,81448,8793,60.83387819991913
openai/gpt-oss-120b,3,81498,2798,73.06053650006652
minimax/minimax-m2.7,3,82735,4382,115.36977539991494
google/gemini-3-flash-preview,3,101534,2020,12.6769829998957
x-ai/grok-4.1-fast,3,80419,3393,31.180599299957976
qwen/qwen3-30b-a3b-instruct-2507,3,81651,2842,49.35597379994579
qwen/qwen3-coder,3,81651,2481,69.40751380007714
moonshotai/kimi-k2.5,3,82504,6208,128.8908073999919
z-ai/glm-4.7-flash,3,80275,4363,64.55388010002207
mistralai/devstral-small,3,87578,1615,8.218485499965027
